gene,log2_fold_change,p_value,padj
SNORD116-22,-6.315328252911877,0.0002460217848601034,0.02865975345197288
FAM46A,-0.9791774307948637,0.00024017494923558004,0.02865975345197288
CCDC107,1.0202046078936609,0.0002432573687577891,0.02865975345197288
TEX264,0.3490181726116459,0.0002461456323320706,0.02865975345197288
ZNF43,-0.367985391858356,0.00024012791148497078,0.02865975345197288
CCND3,0.9249167991161515,0.00024652404049133405,0.02865975345197288
FGD4,1.8653093544172057,0.00024204591617892488,0.02865975345197288
TRNP1,1.9061692715287677,0.0002492770833341693,0.02871992851701051
ZNF589,-0.4117953164059973,0.00025057560196420944,0.02872732012075392
ANXA4,1.187419692451364,0.00025482176182820926,0.029070915995234873
MAPRE3,-0.6856545382845809,0.00025852113771904786,0.029206613777356318
SEPX1,0.6163443364793819,0.0002580980870730725,0.029206613777356318
ZYX,0.6991045799801254,0.00026271694276164395,0.029537253183051882
HSD17B11,0.7492695865864141,0.0002712646921576812,0.030351649906662094
TRPC6,1.6424976144958499,0.00028040611092267233,0.03113504131267196
KCTD12,-2.3573979482649614,0.00028094180705801194,0.03113504131267196
FZD8,1.3855055800179705,0.0002844578870876096,0.031135882594139696
PDLIM5,1.3990931737311745,0.0002849629610515084,0.031135882594139696
GPX3,3.711595684126051,0.00028373756763966633,0.031135882594139696
AMPH,0.9643245231265261,0.00028927378206965474,0.031459199673397546
SCAP,0.32057154934744503,0.00029230630719030243,0.03164113808018562
AGTRAP,1.0541034814108947,0.0002975953797540226,0.032064524412108185
STAT5A,0.5485973533460089,0.00030136793170998,0.03232136347781734
PTPDC1,0.7029107082382595,0.0003047801701803372,0.03247011148642021
LOC91149,-0.02307335664500817,0.00030554524193383007,0.03247011148642021
MIOS,0.2746121088707456,0.00031168919789280905,0.03297246682981521
USP11,-0.18499154165976872,0.00031333029286486426,0.03299609007169224
TRAPPC10,0.2701503391850024,0.0003226663604649739,0.03375831929102683
ARRDC2,0.6885874333352495,0.00032346947973613125,0.03375831929102683
AFAP1L1,1.4174223148351772,0.0003268728544935444,0.0338188439371856
PARP2,-0.6124845932386016,0.0003301828528915262,0.0338188439371856
PGBD5,-1.5374170914478866,0.00033131510409823903,0.0338188439371856
HMGCS1,-0.3452080841257059,0.0003292257882466487,0.0338188439371856
ARMCX6,-0.6383932436154893,0.0003279012777667231,0.0338188439371856
ECHDC1,0.735495633429406,0.00033512256372623896,0.03384774051366337
IL4I1,-0.3370960854054796,0.0003345900591266976,0.03384774051366337
NNMT,2.196007862876332,0.00033596133109853646,0.03384774051366337
GLS,1.1871514250946182,0.000338940924696856,0.03400074198478418
UBE3C,0.20883482923621877,0.0003467886224778802,0.03463867644174981
TSC22D1,1.1372538753598649,0.00034997024954897395,0.03480708383655244
C3orf64,1.1837763478662136,0.00035250571828287564,0.034813124357200374
STEAP2,1.911788712241317,0.00035302270219994363,0.034813124357200374
CACNB2,2.567729212342429,0.000363808463394209,0.03572537708258829
MYADM,1.4893983554036456,0.00036786856789317566,0.0358217789982338
EPM2AIP1,-0.21833495897171584,0.00036786501747191453,0.0358217789982338
SHMT2,-0.6788508278962073,0.00037263502363134754,0.03605091233391591
ELOVL1,0.5280503641451322,0.0003733197212423725,0.03605091233391591
LRRC56,-0.2664154012059823,0.000380582144758945,0.03644974590524661
C1orf50,-0.29866442064597676,0.0003793492503797915,0.03644974590524661
POLD4,0.6190840620185272,0.0003854155784281682,0.03676138015065065
OTUD6B,0.2530277756268915,0.0003886333706260021,0.03676692859584938
C4orf21,-0.27281576182743966,0.0003877725985491373,0.03676692859584938
RGL1,-0.9677766359135234,0.000396651199012317,0.03723069860528145
OXSR1,0.43456770403578115,0.00039673498277445105,0.03723069860528145
MIR22HG,0.8549922753666879,0.00040353270232039554,0.037570157277150906
DLGAP3,-0.02471884528751209,0.00040358094441145215,0.037570157277150906
ROCK2,0.7381251606330217,0.0004092799196507328,0.037798299881077406
ARHGEF17,0.392335611212729,0.0004079823178889966,0.037798299881077406
WHSC1,-0.27825488832873235,0.000415283733443823,0.03820117916378693
FCHSD1,0.35431251026251953,0.0004262304629959953,0.039002779360416934
UAP1,0.6460543471149229,0.000427349664285065,0.039002779360416934
FLRT3,-1.5016419826370393,0.00043260687779601137,0.039175330221582
SLC16A2,-0.4092724440316653,0.00043202072008842343,0.039175330221582
MT1E,2.1483870759634938,0.0004354607581679095,0.03928092335209984
TSG101,0.3801840328186765,0.0004387422374911241,0.03942412391170244
TSC22D1-AS1,0.8882348359592886,0.0004510134321641161,0.03966048896158594
ZMYM3,-0.5126551951940828,0.00045159754113437346,0.03966048896158594
XPOT,-0.5769033577861409,0.00044449930152405193,0.03966048896158594
C20orf96,-0.7765008869591121,0.0004484992635293755,0.03966048896158594
ELF1,0.892532971402594,0.0004503485662399698,0.03966048896158594
DPYSL3,-0.5597902384954923,0.0004474965422390287,0.03966048896158594
ACVR1C,-0.13677990776243032,0.00045792663132224523,0.03993314327580244
PHLDA1,-1.0433247466750144,0.0004581338570291433,0.03993314327580244
NEK10,-1.1277823628135057,0.0004615888097314274,0.04008416555552056
TMEM200A,-1.0100297304140513,0.0004667105224047599,0.04037826761310773
